,movie,lead
647,Wake Up India,Elisha Kriis
648,Super Model (film),Ashmit Patel
649,Gori Tere Pyaar Mein,Imran Khan
650,What the Fish,Manu Rishi Chadha
651,Jackpot (2013 film),Naseeruddin Shah
652,Table No. 21,Paresh Rawal
653,Bullett Raja,Saif Ali Khan
654,Dhoom 3,Aamir Khan
655,Chashme Baddoor (2013 film),Ali Zafar
656,Lootera,Ranveer Singh
657,War Chhod Na Yaar,Sharman Joshi
658,Chaalis Chauraasi,Naseeruddin Shah
659,Ghost (2012 film),Shiney Ahuja
660,Sadda Adda,Karan Sharma
661,Singh Saab the Great,Sunny Deol
662,Goliyon Ki Raasleela Ram-Leela,Ranveer Singh
663,Agneepath (2012 film),Hrithik Roshan
664,Ek Main Aur Ekk Tu,Kareena Kapoor
665,Ekk Deewana Tha,Prateik
666,?: A Question Mark,Kiran Bhatia
667,Jodi Breakers,Bipasha Basu
668,Tere Naal Love Ho Gaya,Riteish Deshmukh
669,Staying Alive (2012 film),Jahangir Khan
670,Paan Singh Tomar (film),Irrfan Khan
671,Kahaani,Vidya Balan
672,Zindagi Tere Naam,Mithun Chakraborty
673,Agent Vinod (2012 film),Kareena Kapoor
674,Blood Money (2012 film),Manish Chaudhary
675,Bumboo,Kavin Dave
676,Valentine's Night,Shikhi Gupta
677,Married 2 America,Archana Joglekar
678,Chaar Din Ki Chandni,Tusshar Kapoor
679,Bittoo Boss,Pulkit Samrat
680,Vicky Donor,Ayushmann Khurrana
681,Hate Story,Nikhil Dwivedi
682,Tezz,Anil Kapoor
683,Dangerous Ishhq,Karisma Kapoor
684,Ishaqzaade,Arjun Kapoor
685,Department (film),Sanjay Dutt
686,Fatso!,Gul Panag
687,Arjun: The Warrior Prince,Yudhveer Bakoliya
688,Life Ki Toh Lag Gayi,Kay Kay Menon
689,Shanghai (2012 film),Emraan Hashmi
690,Ferrari Ki Sawaari,Sharman Joshi
691,Teri Meri Kahaani (film),Shahid Kapoor
692,Mr. Bhatti on Chutti,Anupam Kher
693,Yeh Khula Aasmaan,Anya Anand
694,Rakhtbeej,Julia Datt
695,Gangs of Wasseypur,Manoj Bajpayee
696,Gangs of Wasseypur – Part 2,Manoj Bajpayee
697,Cocktail (2012 film),Saif Ali Khan
698,Gattu,Naresh Sharma
699,Kyaa Super Kool Hain Hum,Riteish Deshmukh
700,Maximum (film),Sonu Sood
701,Paanch Ghantey Mien Paanch Crore,Nassar Abdulla
702,Ek Tha Tiger,Salman Khan
703,Challo Driver,Vickrant Mahajan
704,Shirin Farhad Ki Toh Nikal Padi,Freny Bhagat
705,Joker (2012 film),Akshay Kumar
706,Aalaap (film),Omkar Das Manikpuri
707,Mere Dost Picture Abhi Baki Hai,Sunil Shetty
708,Krishna Aur Kans,Manoj Bajpayee
709,From Sydney with Love,Bidita Bag
710,Jalpari: The Desert Mermaid,Harish Chabbra
711,Barfi!,Ranbir Kapoor
712,Heroine (2012 film),Kareena Kapoor
713,Chal Pichchur Banate Hain,Sagar Bhangade
714,Kismat Love Paisa Dilli,Vivek Oberoi
715,Jeena Hai Toh Thok Daal,Ravi Kishan
716,OMG – Oh My God!,Paresh Rawal
717,Aiyyaa,Rani Mukerji
718,Chittagong (film),Manoj Bajpayee
719,Bhoot Returns,J.D. Chakravarthi
720,Delhi Safari,Cary Elwes
721,Chakravyuh (2012 film),Arjun Rampal
722,Student of the Year,Alia Bhatt
723,Ajab Gazabb Love,Jackky Bhagnani
724,Rush (2012 film),Emraan Hashmi
725,1920: The Evil Returns,Vicky Ahuja
726,Sons of Ram,Sunidhi Chauhan
727,Ata Pata Laapata,Asrani
728,Jab Tak Hai Jaan,Shah Rukh Khan
729,Talaash: The Answer Lies Within,Aamir Khan
730,Login (film),Himanshu Bhatt
731,Son of Sardaar,Ajay Devgn
732,Cigarette Ki Tarah,Ashok Banthia
733,Dabangg 2,Salman Khan
734,Players (2012 film),Vinod Khanna
735,Housefull 2,Akshay Kumar
736,Bol Bachchan,Amitabh Bachchan
737,English Vinglish,Sridevi
738,Impatient Vivek,Vivek Sudershan
739,Yamla Pagla Deewana,Nafisa Ali
740,Mumbai Mast Kallander,Mohsin
741,Dhobi Ghat (film),Prateik
742,Turning 30,Gul Panag
743,Hostel (2011 film),Vatsal Sheth
744,Dil Toh Baccha Hai Ji,Ajay Devgn
745,United Six,Russell Geoffrey Banks
746,Utt Pataang,Vinay Pathak
747,Patiala House (film),Rishi Kapoor
748,7 Khoon Maaf,Priyanka Chopra
749,Tanu Weds Manu,Madhavan
750,F.A.L.T.U,Arshad Warsi
751,Memories in March,Deepti Naval
752,Thank You (2011 film),Akshay Kumar
753,Angel (2011 film),Sumit Arora
754,Happy Husbands (2011 film),Anay
755,Teen Thay Bhai,Om Puri
756,Dum Maaro Dum (film),Abhishek Bachchan
757,Shor in the City,Sendhil Ramamurthy
758,Zokkomon,Darsheel Safary
759,Chalo Dilli,Vinay Pathak
760,Aashiqui.in,Ishaan Manhaas
761,Satrangee Parachute,Sanjay Mishra
762,Monica (film),Ashutosh Rana
763,I Am (2010 Indian film),Juhi Chawla
764,Naughty @ 40,Govinda
765,Haunted – 3D,Mimoh Chakraborty
766,Love U...Mr. Kalakaar!,Tusshar Kapoor
767,Ragini MMS,Kainaz Motivala
768,Stanley Ka Dabba,Partho A. Gupte
769,Shagird (2011 film),Nana Patekar
770,404 (film),Sara Arjun
771,Shaitan (film),Kalki Koechlin
772,Pyaar Ka Punchnama,Kartik Aaryan
773,Bheja Fry 2,Vinay Pathak
774,Always Kabhi Kabhi,Lillete Dubey
775,Double Dhamaal,Sanjay Dutt
776,Bbuddah... Hoga Terra Baap,Amitabh Bachchan
777,Delhi Belly (film),Imran Khan
778,Murder 2,Emraan Hashmi
779,Chillar Party,Aarav Khanna
780,Zindagi Na Milegi Dobara,Hrithik Roshan
781,Dear Friend Hitler,Raghuvir Yadav
782,I Am Kalam,Gulshan Grover
783,Bin Bulaye Baraati,Naushaad Abbas
784,Kucch Luv Jaisaa,Shefali Shah
785,Singham,Ajay Devgn
786,Khap (film),Rahul Jaiswal
787,Bubble Gum (film),Apoorva Arora
788,Shabri,Isha Koppikar
789,Phhir,Rajniesh Duggall
790,Aarakshan,Amitabh Bachchan
791,Chatur Singh Two Star,Sanjay Dutt
792,Sahi Dhandhe Galat Bande,Anupam Kher
793,Bodyguard (2011 Hindi film),Salman Khan
794,Yeh Dooriyan,Deepshika Nagpal
795,Not a Love Story (2011 film),Deepak Dobriyal
796,Hum Tum Shabana,Tusshar Kapoor
797,Mummy Punjabi,Kiron Kher
798,Mere Brother Ki Dulhan,Imran Khan
799,Mausam (2011 film),Shahid Kapoor
800,U R My Jaan,Mikaal
801,Force (2011 film),John Abraham
802,Saheb Biwi Aur Gangster,Jimmy Sheirgill
803,Tere Mere Phere,Vinay Pathak
804,Breakaway (2011 film),Vinay Virmani
805,Chargesheet (film),Dev Anand
806,Love Breakups Zindagi,Zayed Khan
807,Mujhse Fraaandship Karoge,Saqib Saleem
808,Aazaan,Sachiin Joshi
809,Ra.One,Shah Rukh Khan
810,Rockstar (2011 film),Ranbir Kapoor
811,Miley Naa Miley Hum,Chirag Paswan
812,Tell Me O Kkhuda,Dharmendra
813,Damadamm!,Himesh Reshammiya
814,Ladies vs Ricky Bahl,Ranveer Singh
815,Desi Boyz,Akshay Kumar
816,Game (2011 film),Abhishek Bachchan
817,No One Killed Jessica,Rani Mukerji
818,Rascals (2011 film),Ajay Devgn
819,The Dirty Picture,Vidya Balan
820,Pyaar Impossible!,Priyanka Chopra
821,Chance Pe Dance,Shahid Kapoor
822,My Friend Pinto,Prateik
823,Veer (2010 film),Salman Khan
824,Striker (2010 film),Siddharth
825,Rann (film),Amitabh Bachchan
826,Ishqiya,Vidya Balan
827,Road to Sangam,Paresh Rawal
828,Jo Hum Chahein,Sunny Gill
829,Click (2010 film),Shreyas Talpade
830,Toh Baat Pakki!,Tabu
831,My Name Is Khan,Shah Rukh Khan
832,Teen Patti (film),Amitabh Bachchan
833,Karthik Calling Karthik,Siddhartha Gupta
834,Don 2,Shah Rukh Khan
835,Rokkk,Tanushree Dutta
836,Aakhari Decision,Paul Sidhu
837,Right Yaaa Wrong,Sunny Deol
838,Sukhmani: Hope for Life,Gurdas Maan
839,Thanks Maa,Master Shams
840,Na Ghar Ke Na Ghaat Ke,Om Puri
841,Trump Card (film),Vikrum Kumar
842,Shaapit,Aditya Narayan
843,Hum Tum Aur Ghost,Arshad Warsi
844,Well Done Abba,Boman Irani
845,Tum Milo Toh Sahi,Nana Patekar
846,Jaane Kahan Se Aayi Hai,Priyanka Chopra
847,Prem Kaa Game,Arbaaz Khan
848,Sadiyaan,Rekha
849,The Japanese Wife,Rahul Bose
850,Paathshaala,Nana Patekar
851,Phoonk 2,Sudeep
852,Lahore (film),Farooq Shaikh
853,Apartment (film),Rohit Roy
854,City of Gold (2010 film),Sachin Khedekar
855,Chase (2010 film),Anuj Saxena
856,Housefull (2010 film),Akshay Kumar
857,Mittal v/s Mittal,Hazel Croney
858,It's a Wonderful Afterlife,Sanjeev Bhaskar
859,Prince (2010 film),Vivek Oberoi
860,Raavan,Abhishek Bachchan
861,Bumm Bumm Bole,Atul Kulkarni
862,Kushti (film),Rajpal Yadav
863,Kites (film),Hrithik Roshan
864,Love Sex Aur Dhokha,Nushrat Bharucha
865,Milenge Milenge,Kareena Kapoor
866,Ek Second... Jo Zindagi Badal De?,Bhushan Agarwal
867,Mr. Singh Mrs. Mehta,Prashant Narayanan
868,Lamhaa,Sanjay Dutt
869,Khatta Meetha (2010 film),Akshay Kumar
870,Tere Bin Laden,Ali Zafar
871,Udaan (2010 film),Rajat Barmecha
872,Once Upon a Time in Mumbaai,Ajay Devgn
873,Help (film),Bobby Deol
874,Peepli Live,Omkar Das Manikpuri
875,Lafangey Parindey,Neil Nitin Mukesh
876,Hello Darling,Gul Panag
877,Antardwand,Raj Singh Chaudhary
878,Aashayein,John Abraham
879,Soch Lo,Barkha Madan
880,Dabangg,Salman Khan
881,Khichdi: The Movie,Supriya Pathak
882,Red Alert: The War Within,Sunil Shetty
883,Life Express (2010 film),Rituparna Sengupta
884,The Film Emotional Atyachar,Ranvir Shorey
885,Hisss,Mallika Sherawat
886,Crook (film),Emraan Hashmi
887,Do Dooni Chaar,Rishi Kapoor
888,Aakrosh (2010 film),Ajay Devgn
889,Ramayana: The Epic,Manoj Bajpayee
890,Knock Out (2010 film),Sanjay Dutt
891,Jhootha Hi Sahi,John Abraham
892,Guzaarish (film),Hrithik Roshan
893,Allah Ke Banday,Varun Bhagwat
894,Break Ke Baad,Deepika Padukone
895,Khuda Kasam,Sunny Deol
896,Phas Gaye Re Obama,Rajat Kapoor
897,Malik Ek,Akanksha
898,A Flat (film),Jimmy Sheirgill
899,No Problem (2010 film),Sanjay Dutt
900,Band Baaja Baaraat,Ranveer Singh
901,Kaalo,Aditya Srivastava
902,Mirch,Arunoday Singh
903,Tees Maar Khan (2010 film),Akshay Kumar
904,Isi Life Mein,Akshay Oberoi
905,Toonpur Ka Super Hero,Ajay Devgn
906,Tera Kya Hoga Johnny,Neil Nitin Mukesh
907,Ramaa: The Saviour,Sahil Khan
908,I Hate Luv Storys,Imran Khan
909,Dulha Mil Gaya,Sushmita Sen
910,Anjaana Anjaani,Priyanka Chopra
911,Dunno Y... Na Jaane Kyon,Zeenat Aman
912,Pankh,Bipasha Basu
913,Action Replayy,Akshay Kumar
914,3 Idiots,Aamir Khan
915,Luck by Chance,Farhan Akhtar
916,Love Aaj Kal,Saif Ali Khan
917,Wanted (2009 film),Salman Khan
918,Delhi-6,Waheeda Rehman
919,Raaz: The Mystery Continues,Kangana Ranaut
920,Aasma: The Sky Is the Limit,Hrishitaa Bhatt
921,Ajab Prem Ki Ghazab Kahani,Ranbir Kapoor
922,Chal Chala Chal,Asrani
923,Billu,Irrfan Khan
924,The Stoneman Murders,Kay Kay Menon
925,Kisse Pyaar Karoon,Arshad Warsi
926,Dhoondte Reh Jaaoge,Paresh Rawal
927,Karma Aur Holi,Rati Agnihotri
928,Victory (2009 film),Harman Baweja
929,Kaminey,Shahid Kapoor
930,Jai Veeru,Fardeen Khan
931,Little Zizou,John Abraham
932,Gulaal (film),Kay Kay Menon
933,Aloo Chaat (film),Aftab Shivdasani
934,Barah Aana,Naseeruddin Shah
935,Firaaq,Inaamulhaq
936,Aa Dekhen Zara,Neil Nitin Mukesh
937,99 (2009 film),Kunal Khemu
938,Ek: The Power of One,Bobby Deol
939,Ek Se Bure Do,Anita
940,Sikandar (2009 film),Parzaan Dastur
941,Zor Lagaa Ke...Haiya!,Meghan Jadhav
942,Paying Guests,Shreyas Talpade
943,New York (2009 film),John Abraham
944,Sankat City,Kay Kay Menon
945,Shortkut,Sanjay Dutt
946,Luck (2009 film),Mithun Chakraborty
947,Life Partner,Govinda
948,Daddy Cool (2009 Hindi film),Sunil Shetty
949,Kisaan,Jackie Shroff
950,Yeh Mera India,Anupam Kher
951,Aagey Se Right,Shreyas Talpade
952,Chintu Ji,Rishi Kapoor
953,Quick Gun Murugun,Rajendra Prasad
954,Fox (film),Arjun Rampal
955,Baabarr,Mithun Chakraborty
956,Phir Kabhi,Mithun Chakraborty
957,Vaada Raha,Bobby Deol
958,Dil Bole Hadippa!,Shahid Kapoor
959,What's Your Raashee?,Harman Baweja
960,Acid Factory,Fardeen Khan
961,All the Best: Fun Begins,Sanjay Dutt
962,Wake Up Sid,Ranbir Kapoor
963,Main Aurr Mrs Khanna,Salman Khan
964,Blue (2009 film),Akshay Kumar
965,Fruit and Nut (film),Atmaram Bhende
966,Aladin (film),Amitabh Bachchan
967,London Dreams,Salman Khan
968,Jail (2009 film),Manoj Bajpayee
969,Tum Mile,Emraan Hashmi
970,Kurbaan (2009 film),Lewis Tan
971,De Dana Dan,Akshay Kumar
972,Paa (film),Amitabh Bachchan
973,Rocket Singh: Salesman of the Year,Ranbir Kapoor
974,Raat Gayi Baat Gayi?,Aamir Bashir
975,Accident on Hill Road,Farooq Shaikh
976,Chandni Chowk to China,Mithun Chakraborty
977,Dostana (2008 film),Abhishek Bachchan
978,Race (2008 film),Saif Ali Khan
979,Rab Ne Bana Di Jodi,Shah Rukh Khan
980,Ghajini (2008 film),Aamir Khan
981,Singh Is Kinng,Akshay Kumar
982,Golmaal Returns,Ajay Devgn
983,Jodhaa Akbar,Hrithik Roshan
984,Bachna Ae Haseeno,Ranbir Kapoor
985,Bhoothnath,Amitabh Bachchan
986,Sarkar Raj,Amitabh Bachchan
987,Halla Bol,Ajay Devgn
988,Humne Jeena Seekh Liya,Omkar Bhatkar
989,Bombay to Bangkok,Shreyas Talpade
990,Tulsi (film),Manisha Koirala
991,Sunday (2008 film),Ajay Devgn
992,One Two Three,Tusshar Kapoor
993,Krazzy 4,Juhi Chawla
994,U Me Aur Hum,Ajay Devgn
995,Sirf (film),Kay Kay Menon
996,Tashan (film),Akshay Kumar
997,Anamika (2008 film),Dino Morea
998,Jimmy (2008 film),Mimoh Chakraborty
999,Jannat (film),Emraan Hashmi
1000,Don Muthu Swami,Mithun Chakraborty
1001,Woodstock Villa,Sikander Kher
1002,Mere Baap Pehle Aap,Paresh Rawal
1003,Summer 2007,Ahraz Ahmed
1004,De Taali,Aftab Shivdasani
1005,Haal-e-Dil,Amita Pathak
1006,Thodi Life Thoda Magic,Saahil Chadha
1007,Thoda Pyaar Thoda Magic,Saif Ali Khan
1008,Via Darjeeling,Kay Kay Menon
1009,Kismat Konnection,Shahid Kapoor
1010,Love Story 2050,Harman Baweja
1011,Contract (2008 film),Adhvik Mahajan
1012,Mission Istaanbul,Vivek Oberoi
1013,Money Hai Toh Honey Hai,Govinda
1014,God Tussi Great Ho,Amitabh Bachchan
1015,Mumbai Meri Jaan,Paresh Rawal
1016,Maan Gaye Mughal-e-Azam,Mallika Sherawat
1017,Rock On!!,Arjun Rampal
1018,C Kkompany,Tusshar Kapoor
1019,Chamku,Bobby Deol
1020,Mukhbiir,Sammir Dattani
1021,Tahaan,Victor Banerjee
1022,1920 (film),Rajniesh Duggall
1023,The Last Lear,Amitabh Bachchan
1024,Welcome to Sajjanpur,Shreyas Talpade
1025,Saas Bahu Aur Sensex,Kiron Kher
1026,Hari Puttar: A Comedy of Terrors,Jackie Shroff
1027,Drona (2008 film),Jayshree Arora
1028,Hello (2008 film),Sharman Joshi
1029,Karzzzz,Himesh Reshammiya
1030,Heroes (2008 film),Sohail Khan
1031,Roadside Romeo,Saif Ali Khan
1032,Ek Vivaah... Aisa Bhi,Isha Koppikar
1033,Deshdrohi,Kamal Rashid Khan
1034,Fashion (2008 film),Priyanka Chopra
1035,Dasvidaniya,Vinay Pathak
1036,Yuvvraaj,Salman Khan
1037,Oye Lucky! Lucky Oye!,Abhay Deol
1038,Oh My God (2008 film),Vinay Pathak
1039,Sorry Bhai!,Shabana Azmi
1040,1971 (2007 film),Manoj Bajpayee
1041,Meerabai Not Out,Anupam Kher
1042,Wafa: A Deadly Love Story,Rajesh Khanna
1043,Gumnaam – The Mystery,Dino Morea
1044,Dil Kabaddi,Irrfan Khan
1045,Aag (2007 film),Amitabh Bachchan
1046,Aap Kaa Surroor,Himesh Reshammiya
1047,Aggar (film),Tusshar Kapoor
1048,Anwar (2007 film),Nauheed Cyrusi
1049,Aaja Nachle,Madhuri Dixit
1050,Apne,Dharmendra
1051,Awarapan,Emraan Hashmi
1052,Bheja Fry (film),Vinay Pathak
1053,Bhool Bhulaiyaa,Akshay Kumar
1054,Bhram,Dino Morea
1055,Big Brother (2007 film),Sunny Deol
1056,68 Pages,Mouli Ganguly
1057,Aur Pappu Paas Ho Gaya,Krishna Abhishek
1058,Apna Asmaan,Irrfan Khan
1059,Black Friday (2007 film),Kay Kay Menon
1060,The Blue Umbrella (2005 film),Pankaj Kapur
1061,Blood Brothers (2007 Indian film),Jazzy Doe
1062,Buddha Mar Gaya,Mona Ambegaonkar
1063,Cash (2007 film),Ajay Devgn
1064,Cheeni Kum,Amitabh Bachchan
1065,Chhodon Naa Yaar,Jimmy Sheirgill
1066,Darling (2007 Indian film),Fardeen Khan
1067,Chak De! India,Shah Rukh Khan
1068,Dhamaal,Sanjay Dutt
1069,Goal (2007 Hindi film),John Abraham
1070,Dharm (film),Pankaj Kapur
1071,Bombay to Goa (2007 film),Sunil Pal
1072,Dhokha,Muzamil Ibrahim
1073,Dil Dosti Etc,Imaaduddin Shah
1074,Dhol (film),Sharman Joshi
1075,Ek Chalis Ki Last Local,Abhay Deol
1076,Familywala,Arjun Rampal
1077,Gandhi My Father,Akshaye Khanna
1078,Don't Stop Dreaming,Rishi Kapoor
1079,Dus Kahaniyaan,Arbaaz Khan
1080,Eklavya: The Royal Guard,Amitabh Bachchan
1081,Go (2007 film),Gautam Gupta
1082,Gauri: The Unborn,Mohan Azaad
1083,Heyy Babyy,Juanna Sanghvi
1084,Guru (2007 film),Mithun Chakraborty
1085,Honeymoon Travels Pvt. Ltd.,Ranvir Shorey
1086,Jahan Jaaeyega Hamen Paaeyega,Govinda
1087,Jhoom Barabar Jhoom,Abhishek Bachchan
1088,Jab We Met,Shahid Kapoor
1089,Good Boy Bad Boy,Tusshar Kapoor
1090,Fool & Final,Shahid Kapoor
1091,Khoya Khoya Chand,Shiney Ahuja
1092,Johnny Gaddaar,Dharmendra
1093,Just Married (2007 film),Fardeen Khan
1094,Kya Love Story Hai,Tusshar Kapoor
1095,Kudiyon Ka Hai Zamana,Rekha
1096,Hastey Hastey,Jimmy Sheirgill
1097,Laaga Chunari Mein Daag,Rani Mukerji
1098,Life in a... Metro,Dharmendra
1099,Loins of Punjab Presents,Shabana Azmi
1100,Manorama Six Feet Under,Abhay Deol
1101,Marigold (2007 film),Salman Khan
1102,MP3: Mera Pehla Pehla Pyaar,Menekka Arora
1103,Hattrick (film),Nana Patekar
1104,Naqaab,Bobby Deol
1105,Mumbai Salsa,Linda Arsenio
1106,The Namesake (film),Kal Penn
1107,Namastey London,Akshay Kumar
1108,My Bollywood Bride,Jason Lewis
1109,Nehlle Pe Dehlla,Sanjay Dutt
1110,Nishabd,Amitabh Bachchan
1111,No Smoking (2007 film),John Abraham
1112,Om Shanti Om,Shah Rukh Khan
1113,Partner (2007 film),Salman Khan
1114,Raqeeb,Rahul Khanna
1115,Nanhe Jaisalmer,Dwij Yadav
1116,Life Mein Kabhie Kabhiee,Aftab Shivdasani
1117,Risk (2007 film),Vinod Khanna
1118,Shakalaka Boom Boom,Bobby Deol
1119,Red Swastik,Sherlyn Chopra
1120,Salaam-e-Ishq: A Tribute to Love,Salman Khan
1121,Saawariya,Rani Mukerji
1122,Sarhad Paar,Mahima Chaudhry
1123,Say Salaam India,Mandar Jadhav
1124,Red: The Dark Side,Aftab Shivdasani
1125,Shootout at Lokhandwala,Amitabh Bachchan
1126,Strangers (2007 Hindi film),Jimmy Sheirgill
1127,Swami (2007 film),Manoj Bajpayee
1128,Taare Zameen Par,Darsheel Safary
1129,Ta Ra Rum Pum,Saif Ali Khan
1130,Speed (2007 film),Urmila Matondkar
1131,Traffic Signal (film),Kunal Khemu
1132,The Train (2007 film),Emraan Hashmi
1133,Showbiz (film),Tushar Jalota
1134,Sunglass (film),Jaya Bachchan
1135,Welcome (2007 film),Akshay Kumar
1136,36 China Town,Akshaye Khanna
1137,Zamaanat,Jeetendra
1138,Aap Ki Khatir (2006 film),Akshaye Khanna
1139,Ahista Ahista (2006 film),Abhay Deol
1140,Aksar,Emraan Hashmi
1141,Alag,Akshay Kapoor
1142,Anthony Kaun Hai?,Sanjay Dutt
1143,Apna Sapna Money Money,Bobby Darling
1144,Ankahee (2006 film),Aftab Shivdasani
1145,Yatra (2007 film),Rekha
1146,Baabul (2006 film),Amitabh Bachchan
1147,Aisa Kyon Hota Hai?,Rati Agnihotri
1148,Adharm (2006 film),Rahul Dev
1149,Being Cyrus,Naseeruddin Shah
1150,Banaras (2006 film),Urmila Matondkar
1151,Bas Ek Pal,Juhi Chawla
1152,Bhagam Bhag,Akshay Kumar
1153,Chingaari,Sushmita Sen
1154,Bhoot Unkle,Jackie Shroff
1155,Chand Ke Paar Chalo (film),Somesh Agarwal
1156,Aryan: Unbreakable,Sohail Khan
1157,Chup Chup Ke,Kareena Kapoor
1158,Corporate (2006 film),Bipasha Basu
1159,Darna Zaroori Hai,Amitabh Bachchan
1160,Deadline: Sirf 24 Ghante,Rajit Kapoor
1161,Dil Diya Hai,Emraan Hashmi
1162,Darwaaza Bandh Rakho,Ishrat Ali
1163,Eight: The Power of Shani,Raj Tara
1164,Dhoom 2,Hrithik Roshan
1165,Dor (film),Ayesha Takia
1166,Don (2006 Hindi film),Shah Rukh Khan
1167,Family (2006 film),Amitabh Bachchan
1168,Fanaa (2006 film),Aamir Khan
1169,Gangster (2006 film),Kangana Ranaut
1170,Golmaal: Fun Unlimited,Ajay Devgn
1171,Devaki (2005 film),Ram Kapoor
1172,Fight Club – Members Only,Sunil Shetty
1173,Dharti Kahe Pukar Ke (2006 film),Ajay Devgn
1174,Humko Deewana Kar Gaye,Akshay Kumar
1175,Humko Tumse Pyaar Hai,Arjun Rampal
1176,I See You (2006 film),Arjun Rampal
1177,Jaane Hoga Kya,Aftab Shivdasani
1178,Jaan-E-Mann,Salman Khan
1179,Jawani Diwani: A Youthful Joyride,Emraan Hashmi
1180,Holiday (2006 film),Onjolee Nair
1181,Iqraar by Chance,Amarjeet
1182,Khosla Ka Ghosla,Anupam Kher
1183,Kabhi Alvida Naa Kehna,Amitabh Bachchan
1184,Love Ke Chakkar Mein,Rishi Kapoor
1185,Lage Raho Munna Bhai,Sanjay Dutt
1186,Kabul Express,John Abraham
1187,Jigyaasa,Nassar Abdulla
1188,Krrish,Rekha
1189,Malamaal Weekly,Paresh Rawal
1190,Omkara (2006 film),Ajay Devgn
1191,Pyaar Ke Side Effects,Rahul Bose
1192,Naksha,Sunny Deol
1193,Phir Hera Pheri,Akshay Kumar
1194,Pyare Mohan,Fardeen Khan
1195,Mere Jeevan Saathi (2006 film),Akshay Kumar
1196,Prateeksha,Jeetendra
1197,Sacred Evil – A True Story,Sarika
1198,Rang De Basanti,Aamir Khan
1199,Shaadi Karke Phas Gaya Yaar,Salman Khan
1200,Sandwich (2006 film),Govinda
1201,Shaadi Se Pehle,Akshaye Khanna
1202,Saawan... The Love Season,Salman Khan
1203,Shiva (2006 film),Mohit Ahlawat
1204,Souten: The Other Woman,Mahima Chaudhry
1205,Shikhar (film),Ajay Devgn
1206,Children of Heaven,Mohammad Amir Naji
1207,Tathastu,Sanjay Dutt
1208,The Killer (2006 film),Irrfan Khan
1209,Umrao Jaan (2006 film),Aishwarya Rai Bachchan
1210,Taxi No. 9211,Nana Patekar
1211,Teesri Aankh: The Hidden Camera,Sunny Deol
1212,Vivah,Shahid Kapoor
1213,Utthaan,Priyanshu Chatterjee
1214,Waris Shah: Ishq Daa Waaris,Gurdas Maan
1215,Woh Lamhe...,Kangana Ranaut
1216,Yun Hota Toh Kya Hota,Paresh Rawal
1217,Umar (film),Jimmy Sheirgill
1218,Zindaggi Rocks,Sushmita Sen
1219,Tom Dick and Harry (2006 film),Rakesh Bedi
1220,Aashiq Banaya Aapne,Emraan Hashmi
1221,Anjaane (2005 film),Manisha Koirala
1222,Apaharan,Ajay Devgn
1223,Bachke Rehna Re Baba,Rekha
1224,7½ Phere,Juhi Chawla
1225,Barsaat (2005 film),Bobby Deol
1226,Bewafaa (2005 film),Anil Kapoor
1227,Black (2005 film),Amitabh Bachchan
1228,Zinda (film),Sanjay Dutt
1229,Bluffmaster!,Abhishek Bachchan
1230,99.9 FM (film),Shawar Ali
1231,Bhola in Bollywood,Ali Asgar
1232,Bhagmati (2005 film),Tabu
1233,Blackmail (2005 film),Ajay Devgn
1234,Bunty Aur Babli,Abhishek Bachchan
1235,Chaahat – Ek Nasha,Aryan Vaid
1236,Chetna: The Excitement,Jatin Grewal
1237,Chand Sa Roshan Chehra,Samir Aftab
1238,Chocolate (2005 film),Anil Kapoor
1239,D (film),Randeep Hooda
1240,Deewane Huye Paagal,Akshay Kumar
1241,Bullet: Ek Dhamaka,Saayli Buva
1242,Chehraa,Bipasha Basu
1243,Dil Jo Bhi Kahey...,Amitabh Bachchan
1244,Dosti: Friends Forever,Akshay Kumar
1245,Classic – Dance of Love,Mithun Chakraborty
1246,Dus,Sanjay Dutt
1247,Elaan (2005 film),Arjun Rampal
1248,Fareb (2005 film),Shilpa Shetty Kundra
1249,Ek Ajnabee,Amitabh Bachchan
1250,Fun – Can Be Dangerous Sometimes,Siddharth Koirala
1251,Ek Khiladi Ek Haseena (film),Fardeen Khan
1252,Double Cross (2005 film),Ayesha Jhulka
1253,Dreams (2006 film),Aseel Adel
1254,Home Delivery,Vivek Oberoi
1255,Garam Masala (2005 film),Akshay Kumar
1256,Iqbal (film),Shreyas Talpade
1257,Jai Chiranjeeva,Chiranjeevi
1258,Hazaaron Khwaishein Aisi,Kay Kay Menon
1259,Insan,Akshay Kumar
1260,Jo Bole So Nihaal (film),Sunny Deol
1261,Karam (film),John Abraham
1262,Kaal (2005 film),Ajay Devgn
1263,Kalyug (2005 film),Kunal Khemu
1264,Kasak (2005 film),Lucky Ali
1265,Hanuman (2005 film),Mukesh Khanna
1266,James (2005 film),Mohit Ahlawat
1267,Kisna: The Warrior Poet,Vivek Oberoi
1268,Koi Aap Sa,Aftab Shivdasani
1269,Khamoshh... Khauff Ki Raat,Shilpa Shetty Kundra
1270,Jurm (2005 film),Kamal Adib
1271,Kuchh Meetha Ho Jaye,Arshad Warsi
1272,Kyaa Kool Hai Hum,Tusshar Kapoor
1273,Lucky: No Time for Love,Salman Khan
1274,Main Aisa Hi Hoon,Ajay Devgn
1275,Kyon Ki,Salman Khan
