,movie,lead
148,5 Weddings,Nargis Fakhri
149,Kaashi in Search of Ganga,Aishwarya Devan
150,Dassehra,Neil Nitin Mukesh
151,The Journey of Karma,Shakti Kapoor
152,Jack and Dil,Amit Sadh
153,Mohalla Assi,Sunny Deol
154,Pihu,Rahul Bagga
155,Bhaiaji Superhit,Sunny Deol
156,Rajma Chawal,Amyra Dastur
157,Zero (2018 film),Shah Rukh Khan
158,Simmba,Ranveer Singh
159,Tiger Zinda Hai,Salman Khan
160,Golmaal Again,Ajay Devgn
161,Judwaa 2,Varun Dhawan
162,Ok Jaanu,Shraddha Kapoor
163,Coffee with D,Sunil Grover
164,Kaabil,Hrithik Roshan
165,Raees (film),Raj Arjun
166,Thugs of Hindostan,Aamir Khan
167,Hind Ka Napak Ko Jawab: MSG Lion Heart 2,Gurmeet Ram Rahim Singh
168,Running Shaadi,Arsh Bajwa
169,The Ghazi Attack,Rana Daggubati
170,Irada (2017 film),Naseeruddin Shah
171,Rangoon (2017 Hindi film),Kangana Ranaut
172,Wedding Anniversary,Nana Patekar
173,Jeena Isi Ka Naam Hai (film),Arbaaz Khan
174,Badrinath Ki Dulhania,Varun Dhawan
175,Trapped (2016 Hindi film),Rajkummar Rao
176,Aa Gaya Hero,Govinda
177,Mantra (2016 film),Rajat Kapoor
178,Phillauri (film),Anushka Sharma
179,Machine (2017 film),Kiara Advani
180,Bhanwarey,Shaurya Singh
181,Anaarkali of Aarah,Pankaj Tripathi
182,Naam Shabana,Taapsee Pannu
183,Hotel Salvation,Adil Hussain
184,Begum Jaan,Amitabh Bachchan
185,Noor (film),Sunny Leone
186,Ek Thi Rani Aisi Bhi,Hema Malini
187,Maatr,Raveena Tandon
188,Sarkar 3,Amitabh Bachchan
189,Jattu Engineer,Amardeep Insan
190,Half Girlfriend (film),Shraddha Kapoor
191,Meri Pyaari Bindu,Ayushmann Khurrana
192,Sachin: A Billion Dreams,Sachin Tendulkar
193,Hindi Medium,Irrfan Khan
194,Sweetiee Weds NRI,Himansh Kohli
195,Dobaara: See Your Evil,Adil Hussain
196,Flat 211,Jayesh Raj
197,Dear Maya,Manisha Koirala
198,Raabta (film),Deepika Padukone
199,Behen Hogi Teri,Rajkummar Rao
200,Tubelight (2017 Hindi film),Salman Khan
201,Bank Chor,Riteish Deshmukh
202,Ek Haseena Thi Ek Deewana Tha,Shiv Darshan
203,Jagga Jasoos,Ranbir Kapoor
204,Shab (film),Ashish Bisht
205,Lipstick Under My Burkha,Aahana Kumra
206,Bachche Kachche Sachche,Manoj Babani
207,G Kutta Se,Rajveer Ankur Singh
208,Indu Sarkar,Kirti Kulhari
209,Jab Harry Met Sejal,Shah Rukh Khan
210,Munna Michael,Tiger Shroff
211,Toilet: Ek Prem Katha,Akshay Kumar
212,Mubarakan,Anil Kapoor
213,Guest iin London,Kartik Aaryan
214,Bareilly Ki Barfi,Ayushmann Khurrana
215,Babumoshai Bandookbaaz,Nawazuddin Siddiqui
216,Yadvi – The Dignified Princess,Prisha Aneja
217,Qaidi Band,Aadar Jain
218,Shubh Mangal Saavdhan,Ayushmann Khurrana
219,Raag Desh (film),Kunal Kapoor
220,Daddy (2017 film),Arjun Rampal
221,Simran (film),Kangana Ranaut
222,Lucknow Central,Farhan Akhtar
223,A Gentleman,Sidharth Malhotra
224,Viceroy's House (film),Hugh Bonneville
225,Patel Ki Punjabi Shaadi,Rishi Kapoor
226,Newton (film),Rajkummar Rao
227,The Final Exit,Kunaal Roy Kapur
228,Bhoomi (film),Sunny Leone
229,Haseena Parkar,Shraddha Kapoor
230,JD (film),Rina Charaniya
231,Haraamkhor,Nawazuddin Siddiqui
232,Poster Boys,Sunny Deol
233,Mom (film),Sridevi
234,Chef (2017 film),Saif Ali Khan
235,Ranchi Diaries,Soundarya Sharma
236,Babuji Ek Ticket Bambai,Sudha Chandran
237,Rukh (film),Manoj Bajpayee
238,Secret Superstar,Zaira Wasim
239,Aval (2017 film),Prakash Belawadi
240,Ribbon (film),Kalki Koechlin
241,Shaadi Mein Zaroor Aana,Rajkummar Rao
242,Jia Aur Jia,Richa Chadha
243,Qarib Qarib Singlle,Irrfan Khan
244,Aksar 2,Zareen Khan
245,Panchlait,Nayna Bandhopadhyay
246,Tumhari Sulu,Vidya Balan
247,Julie 2,Nishikant Kamat
248,Kadvi Hawa,Sanjay Mishra
249,Firangi,Kapil Sharma
250,Fukrey Returns,Pulkit Samrat
251,Monsoon Shootout,Vijay Varma
252,Ajji,Sushama Deshpande
253,Chalk n Duster,Richa Chadha
254,Rebellious Flower,Prince Shah
255,Saankal,Tanima Bhattacharya
256,Airlift (film),Akshay Kumar
257,Sallu Ki Shaadi,Zeenat Aman
258,Irudhi Suttru,Madhavan
259,Kyaa Kool Hain Hum 3,Tusshar Kapoor
260,Mastizaade,Tusshar Kapoor
261,Dil Jo Na Keh Saka,Himansh Kohli
262,Jugni (2016 film),Sadhana Singh
263,Ghayal: Once Again,Sunny Deol
264,Fitoor,Aditya Roy Kapoor
265,Sanam Re,Rishi Kapoor
266,Direct Ishq,Rajniesh Duggall
267,Ishq Forever,Krishna Chaturvedi
268,Loveshhuda,Girish Taurani
269,Neerja,Sonam Kapoor
270,Aligarh (film),Sukhesh Arora
271,Bollywood Diaries,Raima Sen
272,Love Shagun,Anuj Sachdeva
273,Tere Bin Laden: Dead or Alive,Parthaa Akerkar
274,Jai Gangaajal,Priyanka Chopra
275,Kapoor & Sons,Sidharth Malhotra
276,Rocky Handsome,John Abraham
277,Love Games (film),Patralekhaa Paul
278,Fan (film),Shah Rukh Khan
279,Nil Battey Sannata,Swara Bhaskar
280,Laal Rang,Randeep Hooda
281,Baaghi (2016 film),Shraddha Kapoor
282,Global Baba,Pankaj Tripathi
283,Shortcut Safari,Jimmy Sheirgill
284,The Blueberry Hunt,Kartik Elangovan
285,Santa Banta Pvt Ltd,Boman Irani
286,Traffic (2016 film),Manoj Bajpayee
287,1920: London,Sharman Joshi
288,Azhar (film),Emraan Hashmi
289,Buddha in a Traffic Jam,Aanchal Dwivedi
290,Murari the Mad Gentleman,Sanjay Singh
291,Dear Dad (film),Arvind Swamy
292,Phobia (2016 film),Radhika Apte
293,Sarbjit (film),Randeep Hooda
294,Veerappan (2016 film),Sachiin Joshi
295,Do Lafzon Ki Kahani (film),Kajal Aggarwal
296,Te3n,Amitabh Bachchan
297,Udta Punjab,Shahid Kapoor
298,Khel Toh Ab Shuru Hoga,Hazel Croney
299,Luv U Alia,V. Ravichandran
300,7 Hours to Go,Vipin Sharma
301,Raman Raghav 2.0,Nawazuddin Siddiqui
302,Junooniyat,Pulkit Samrat
303,Rough Book,Tannishtha Chatterjee
304,Dhanak,Krrish Chhabria
305,Fredrick (film),Avinash Dhyani
306,Dil Toh Deewana Hai,Zeenat Aman
307,Sultan (2016 film),Salman Khan
308,Brahman Naman,Shashank Arora
309,Great Grand Masti,Urvashi Rautela
310,Waiting (2015 film),Naseeruddin Shah
311,Ishq Click,Sara Loren
312,M Cream,Tom Alter
313,Madaari,Irrfan Khan
314,Dishoom,John Abraham
315,Fever (2016 film),Rajeev Khandelwal
316,Rustom (film),Ileana D'Cruz
